rank,cases,county,latLon
1,532895,"Los Angeles,California","(34.0536909, -118.242766)"
2,363669,"New York City,New York","(40.7127281, -74.0060152)"
3,355467,"Cook,Illinois","(41.8197385, -87.756525)"
4,260661,"Maricopa,Arizona","(33.34883, -112.49123)"
5,260137,"Miami-Dade,Florida","(25.6364246, -80.4989467)"
6,208737,"Harris,Texas","(29.8119769, -95.3741247)"
7,160146,"Dallas,Texas","(32.7762719, -96.7968559)"
8,142937,"Clark,Nevada","(36.3467726, -115.0907378)"
9,127791,"San Bernardino,California","(34.8253019, -116.0833144)"
10,120899,"Tarrant,Texas","(32.7513658, -97.335696)"
11,120840,"Broward,Florida","(26.1598074, -80.4623642)"
12,119691,"Riverside,California","(33.9533546, -117.3961623)"
13,109641,"San Diego,California","(32.7174202, -117.1627728)"
14,108070,"Orange,California","(33.7500378, -117.8704931)"
15,94793,"Bexar,Texas","(29.4263987, -98.5104781)"
16,94415,"Salt Lake,Utah","(40.6632297, -111.9103124)"
17,93223,"El Paso,Texas","(31.7754152, -106.464634)"
18,83394,"Milwaukee,Wisconsin","(43.0349931, -87.922497)"
19,81779,"Philadelphia,Pennsylvania","(39.9527237, -75.1635262)"
20,79756,"Hennepin,Minnesota","(45.0257232, -93.4865052)"
