rank,cases,county,latLon
1,525651,"Los Angeles,California","(34.0536909, -118.242766)"
2,360700,"New York City,New York","(40.7127281, -74.0060152)"
3,352409,"Cook,Illinois","(41.8197385, -87.756525)"
4,257856,"Miami-Dade,Florida","(25.6364246, -80.4989467)"
5,253686,"Maricopa,Arizona","(33.34883, -112.49123)"
6,207406,"Harris,Texas","(29.8119769, -95.3741247)"
7,157336,"Dallas,Texas","(32.7762719, -96.7968559)"
8,141231,"Clark,Nevada","(36.3467726, -115.0907378)"
9,126738,"San Bernardino,California","(34.8253019, -116.0833144)"
10,120166,"Broward,Florida","(26.1598074, -80.4623642)"
11,119630,"Tarrant,Texas","(32.7513658, -97.335696)"
12,118335,"Riverside,California","(33.9533546, -117.3961623)"
13,107435,"San Diego,California","(32.7174202, -117.1627728)"
14,104817,"Orange,California","(33.7500378, -117.8704931)"
15,94194,"Bexar,Texas","(29.4263987, -98.5104781)"
16,93761,"Salt Lake,Utah","(40.6632297, -111.9103124)"
17,92810,"El Paso,Texas","(31.7754152, -106.464634)"
18,82954,"Milwaukee,Wisconsin","(43.0349931, -87.922497)"
19,79646,"Philadelphia,Pennsylvania","(39.9527237, -75.1635262)"
20,79134,"Hennepin,Minnesota","(45.0257232, -93.4865052)"
